Selected_Features,Accuracy,Normalize,Intervalo,HyperP,Model_Name
"Open, ema_5_t, sma_5_t, sma_10_t, stoc_t, bol_t, macd",61.18,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_1_minute_ac_61.18
"Volume, Open, rsi, macd",59.17123705057892,True,Interval.in_3_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",
"ema_10_t, sma_10_t, stoc_t, macd_t, chai_t",59.17123705057892,True,Interval.in_3_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_3_minute_ac_59.17
"Volume, Open, rsi, ema_5_t, sma_10_t, stoc_t, bol_t, adx_t, macd_t, macd, chai_t",57.22120658135283,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_5_minute_ac_57.22
"Volume, rsi, ema_5_t, sma_5_t, ema_10_t, sma_10_t, stoc_t, chai_t",55.45399146861669,True,Interval.in_15_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_15_minute_ac_55.45
"Volume, Open, sma_10_t, stoc_t, adx_t, macd_t, macd",56.794637416209625,True,Interval.in_30_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_30_minute_ac_56.79
"Volume, Open, rsi, bol_t, macd_t",55.393053016453386,True,Interval.in_45_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_45_minute_ac_55.39
"rsi, sma_10_t, stoc_t, macd_t",55.33,False,Interval.in_1_hour,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_1_hour_ac_55.33
"Volume, Open, ema_5_t, ema_10_t, stoc_t, bol_t, macd",55.15,False,Interval.in_2_hour,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",
"rsi, ema_5_t, ema_10_t, stoc_t, bol_t, macd_t, macd",55.15,False,Interval.in_2_hour,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_2_hour_ac_55.15
"Open, ema_5_t, sma_5_t, ema_10_t, adx_t",54.78,False,Interval.in_3_hour,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",
"Open, sma_5_t, ema_10_t, sma_10_t, stoc_t, adx_t, chai_t",54.78,False,Interval.in_3_hour,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_3_hour_ac_54.78
"ema_5_t, stoc_t, adx_t, macd_t, macd",55.45399146861669,True,Interval.in_daily,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_daily_ac_55.45
"Volume, rsi, sma_5_t, stoc_t, bol_t, adx_t",60.30150753768844,True,Interval.in_weekly,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_weekly_ac_60.30
"Open, ema_5_t, sma_10_t, bol_t, macd_t",72.94117647058823,True,Interval.in_monthly,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}",ml_rf_Interval.in_monthly_ac_72.94
